column_name,data_clean2015,data_clean2016,data_clean2017
abstained_from_m_ming,NA,NA,character
age,character,character,character
anonymous_brown_globs_that_come_in_black_and_orange_wrappers,NA,character,NA
anonymous_brown_globs_that_come_in_black_and_orange_wrappers_a_k_a_mary_janes,character,NA,character
any_full_sized_candy_bar,character,character,character
black_jacks,character,character,character
blue_m_ms,NA,character,character
bonkers,character,NA,NA
bonkers_the_candy,NA,character,character
bottle_caps,character,character,character
box_o_raisins,character,NA,NA
boxo_raisins,NA,character,character
brach_products_not_including_candy_corn,character,NA,NA
broken_glow_stick,character,character,character
bubble_gum,character,NA,NA
butterfinger,character,character,character
cadbury_creme_eggs,character,character,character
candy_corn,character,character,character
candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,character,character,character
caramellos,character,character,character
cash_or_other_forms_of_legal_tender,character,character,character
chardonnay,NA,character,character
chick_o_sticks_we_don_t_know_what_that_is,character,character,character
chiclets,character,character,character
coffee_crisp,NA,character,character
country,character,character,character
creepy_religious_comics_chick_tracts,character,character,character
dental_paraphenalia,character,character,character
despair_other,character,character,character
dots,character,character,character
dove_bars,NA,character,character
fuzzy_peaches,character,character,character
gender,character,character,character
generic_brand_acetaminophen,character,character,character
glow_sticks,character,character,character
going_out,character,character,character
goo_goo_clusters,character,character,character
good_n_plenty,character,character,character
green_party_m_ms,NA,NA,character
gum_from_baseball_cards,character,character,character
gummy_bears_straight_up,character,character,character
hard_candy,character,character,character
healthy_fruit,character,character,character
heath_bar,character,character,character
hershey_s_kissables,character,NA,NA
hershey_s_milk_chocolate,character,character,character
hersheys_dark_chocolate,character,character,character
hersheys_kisses,NA,character,character
hugs_actual_physical_hugs,character,character,character
jolly_rancher_bad_flavor,character,character,character
jolly_ranchers_good_flavor,character,character,character
joy_joy_mit_iodine,character,character,character
joy_other,character,character,character
junior_mints,character,character,character
kale_smoothie,character,character,character
kinder_happy_hippo,character,character,character
kit_kat,character,character,character
laffy_taffy,character,character,character
lapel_pins,character,NA,NA
lemon_heads,character,character,character
licorice,character,NA,NA
licorice_not_black,character,character,character
licorice_yes_black,NA,character,character
lindt_truffle,character,character,character
lollipops,character,character,character
mars,character,character,character
mary_janes,character,character,NA
maynards,character,character,character
mike_and_ike,NA,character,character
milk_duds,character,character,character
milky_way,character,character,character
minibags_of_chips,character,character,character
mint_juleps,character,character,character
mint_kisses,character,character,character
mint_leaves,character,NA,NA
mint_m_ms,character,NA,NA
mr_goodbar,NA,character,character
necco_wafers,NA,character,character
nerds,character,character,character
nestle_crunch,character,character,character
nown_laters,character,character,character
peanut_butter_bars,character,NA,NA
peanut_butter_jars,character,NA,NA
peanut_m_m_s,character,character,character
peeps,NA,character,character
pencils,character,character,character
peterson_brand_sidewalk_chalk,character,NA,NA
pixy_stix,character,character,character
red_m_ms,NA,character,character
reese_s_peanut_butter_cups,character,character,character
reeses_pieces,NA,character,character
reggie_jackson_bar,character,character,character
regular_m_ms,character,character,character
ribbon_candy,character,NA,NA
rolos,character,character,character
runts,character,NA,NA
sandwich_sized_bags_filled_with_boo_berry_crunch,NA,NA,character
senior_mints,character,character,character
skittles,character,character,character
smarties_american,character,character,character
smarties_commonwealth,character,character,character
snickers,character,character,character
sourpatch_kids_i_e_abominations_of_nature,NA,character,character
spotted_dick,character,character,character
starburst,character,character,character
survey_id,character,character,character
swedish_fish,character,character,character
sweet_tarts,NA,character,character
sweetums,character,character,character
take_5,NA,NA,character
third_party_m_ms,NA,character,character
those_odd_marshmallow_circus_peanut_things,character,character,character
three_musketeers,character,character,character
tic_tacs,NA,character,character
tolberone_something_or_other,character,character,character
trail_mix,character,character,character
twix,character,character,character
vials_of_pure_high_fructose_corn_syrup_for_main_lining_into_your_vein,character,character,character
vicodin,character,character,character
whatchamacallit_bars,NA,character,character
white_bread,character,character,character
whole_wheat_anything,character,character,character
x100_grand_bar,character,character,character
york_peppermint_patties,character,character,character
